FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Ashley Harms,A5046016738,Kordower,"['Michael Lee', 'David Sulzer', 'Haydeh Payami', 'Ashley Harms']"
Ashley Harms,A5046016738,Sulzer,"['Michael Lee', 'David Sulzer', 'Haydeh Payami', 'Ashley Harms']"
Darren Moore,A5037205059,Lee,[]
Laura Niedernhofer,A5043039694,Lee,['Laura Niedernhofer']
Michael Lee,A5021234825,Lee,['Michael Lee']
Malú Tansey,A5008036209,Liddle,"['Haydeh Payami', 'David Sulzer', 'Haydeh Payami', 'Ashley Harms', 'Mel Feany', 'Subhojit Roy', 'Shawn Ferguson', 'Haydeh Payami']"
Timothy Sampson,A5058647225,Liddle,"['Sonia Gandhi', 'Haydeh Payami', 'David Sulzer', 'Sarkis Mazmanian', 'Haydeh Payami']"
Haydeh Payami,A5055969440,Liddle,"['Sarkis Mazmanian', 'Haydeh Payami']"
Rodger Liddle,A5058874182,Liddle,['Brit Mollenhauer']
Steven Dowdy,A5048054072,Mobley,['Steven Dowdy']
Xiang‐Dong Fu,A5103144746,Mobley,[]
William Mobley,A5009879178,Mobley,['Su‐Chun Zhang']
Andres Leschziner,A5011173483,Reck-Peterson,"['Dario Alessi', 'Samara Reck‐Peterson', 'Andres Leschziner', 'Samara Reck‐Peterson', 'Dario Alessi', 'Samara Reck‐Peterson', 'Dario Alessi', 'Samara Reck‐Peterson', 'Dario Alessi', 'Samara Reck‐Peterson', 'Pietro Camilli', 'Andres Leschziner']"
Samara Reck‐Peterson,A5021023250,Reck-Peterson,"['Dario Alessi', 'Samara Reck‐Peterson', 'Andres Leschziner', 'Samara Reck‐Peterson', 'Dario Alessi', 'Samara Reck‐Peterson']"
Elizabeth Villa,A5087861735,Reck-Peterson,"['Dario Alessi', 'Samara Reck‐Peterson', 'Pietro Camilli', 'Andres Leschziner']"
