FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Tom Hnasko,A5013611528,Team Awatramani,[]
Thomas Biederer,A5076555389,Team Biederer,[]
Elena Gracheva,A5022502578,Team Biederer,[]
Michael Higley,A5031151569,Team Biederer,[]
Cagla Eroglu,A5017962710,Team Calakos,[]
Sergiu Pasca,A5088379859,Team Calakos,[]
Timothy Chan,A5080223712,Team Chen,[]
Dinos (Konstantinos) Meletis,A5004457607,Team Cragg,[]
Richard Wade-Martins,A5028723665,Team Cragg,[]
Pietro De Camilli,A5037459294,Team De Camilli,[]
Louis-Eric Trudeau,A5024580674,Team Desjardins,[]
Janelle Drouin-Ouellet,A5078393119,Team Desjardins,[]
Lerner Talia,A5042504580,Team Edwards,[]
Ashley Seifert,A5063109286,Team Gradinaru,[]
David Van Valen,A5045170248,Team Gradinaru,[]
Rui Chang,A5017619994,Team Hafler,[]
Ramnik Xavier,A5056408708,Team Hafler,[]
Maria Grazia Spillantini,A5037609259,Team Hardy,[]
Ruben Fernandez-Busnadiego,A5061030857,Team Harper,[]
J. Wade Harper,A5047746208,Team Harper,[]
Franz-Ulrich Hartl,A5086048712,Team Harper,[]
Molly Gale Hammell,A5032075946,Team Jakobsson,[]
Agnete Kirkeby,A5071467664,Team Jakobsson,[]
Jennifer Johnston,A5016649904,Team Kirik,[]
Mike Henderson,A5034385515,Team Lee,[]
Malu Tansey,A5008036209,Team Liddle,[]
Nicola Segata,A5068576885,Team MAC,[]
Levi Waldron,A5052283192,Team MAC,[]
Xiang-Dong Fu,A5103144746,Team Mobley,[]
Steve Dowdy,A5048054072,Team Mobley,[]
Yuanchao Xue,A5086086716,Team Mobley,[]
Allen Wang,A5052581222,Team Mobley,[]
Samara Reck-Peterson,A5021023250,Team Reck-Peterson,[]
Donato Di Monte,A5035849217,Team Schapira,[]
Su-Chun Zhang,A5030394012,Team Scherzer,[]
Peter Strick,A5084138592,Team Strick,[]
Gist Croft,A5086724086,Team Studer,[]
D. James (Jim) Surmeier,A5033742239,Team Surmeier,[]
Silvia Arber,A5020694621,Team Surmeier,[]
Jose Obeso,A5062838955,Team Vila,[]
Matthias Prigge,A5065389586,Team Vila,[]
Guy Boeckxstaens,A5051093942,Team Voet,[]
Hong-Yuan Chu,A5073427053,Team Wichmann,[]
Adriana Galvan,A5056482545,Team Wichmann,[]
